,result,director,first_hero,second_hero,first_heroien,second_heroien,multi_starer,music,back_ground,cinematographer,editor,audio,songs,genre,production_no1,production_no2,production_no3,combined_production,distributed_by,month,run_time,art_director,fight_master_one,fight_master_two,fight_master_three,poster,budget
0,average,level-16,no hero,level-13,no heroien,level-5,no,level-6,level-6,level-10,level-1,sony,less than6,w,level-7,no one,no one,no,top,august,130 and above,new,level-4,no one,no one,level-2,medium
1,flop,new,new,no hero,new,no heroien,no,level-8,level-8,new,level-2,madhura audio,less than6,l,level-2,level-13,level-8,yes,top,july,130 and above,level-9,level-5,no one,no one,level-1,low
2,super hit,level-8,level-8,no hero,level-2,no heroien,no,level-3,level-3,level-8,level-6,aditya music,exactly 6,v,level-9,level-2,level-13,yes,top,july,150 and above,level-3,no one,no one,level-4,level-1,medium
3,flop,seasonal,new,no hero,level-5,no heroien,no,level-11,level-11,new,level-8,lahari music,exactly 6,q,new,no one,no one,no,low,december,130 and above,new,new,no one,no one,new,low
4,flop,new,level-12,no hero,seasonal,no heroien,no,level-6,level-6,level-6,level-8,aditya music,less than6,l,new,new,no one,yes,low,july,120 and above,level-5,new,no one,no one,new,low
5,industry hit,level-5,level-1,no hero,no heroien,level-1,no,more than one,level-3,level-2,level-1,t-series,less than6,b,level-2,level-3,no one,yes,national,august,150 and above,level-1,level-1,foreign,foreign,new,very very high
6,hit,level-11,level-10,no hero,new,no heroien,no,level-1,level-1,level-11,level-2,think music india,less than6,l,new,no one,no one,no,top,july,120 and above,new,level-2,new,no one,level-2,medium
7,flop,new,no hero,level-6,level-2,level-8,no,level-5,level-5,level-8,level-7,lahari music,more than 6,d,level-2,level-8,no one,yes,top,july,150 and above,level-3,new,no one,no one,level-1,medium
8,industry hit,level-3,level-9,level-7,level-3,level-3,yes,level-2,level-2,level-8,level-6,zee music south,less than6,aj,level-6,level-6,no one,yes,top,july,130 and above,level-5,level-3,no one,no one,level-1,medium
9,hit,level-11,level-7,no hero,level-3,no heroien,no,level-3,level-3,level-7,level-8,aditya music,less than6,g,level-16,no one,no one,no,top,august,130 and above,level-5,no one,new,level-2,level-3,medium
10,average,new,no hero,level-8,level-11,no heroien,no,new,new,level-12,level-2,aditya music,exactly 6,c,new,new,new,yes,low,august,130 and above,new,level-4,no one,no one,level-2,medium
11,flop,level-15,no hero,level-3,level-4,no heroien,no,new,new,level-11,more than one,aditya music,less than6,l,level-3,level-11,level-4,yes,national,august,150 and above,level-2,no fights,no one,no one,level-2,high
12,flop,new,seasonal,no hero,seasonal,no heroien,no,new,new,level-15,level-8,mango music,less than6,p,new,no one,no one,yes,low,august,below 120,new,level-5,no one,no one,level-2,low
13,hit,new,level-6,no hero,no heroien,level-6,no,level-5,level-5,new,level-6,aditya music,less than6,ac,level-5,no one,no one,no,top,august,below 120,level-2,level-2,no one,no one,level-1,medium
14,average,new,seasonal,no hero,no heroien,no heroien,no,level-11,level-11,new,level-3,anjali audio,less than6,l,new,no one,no one,no,low,august,below 120,new,no one,level-5,no one,level-4,very low
15,flop,new,no hero,level-12,level-5,no heroien,no,seasonal,seasonal,level-15,level-10,aditya music,exactly 6,l,new,no one,no one,no,low,september,130 and above,new,no one,level-3,level-4,level-2,low
16,average,level-15,level-5,no hero,level-2,level-3,no,level-4,level-4,level-12,level-2,aditya music,less than6,c,no one,level-4,no one,no,top,august,130 and above,level-2,no one,level-2,no one,level-1,high
